Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
gaoyou,Chrome 65.0.3325.181,\u9AD8\u90AE\u667A\u6167\u8DEF\u706F,2018-05-03 17:21:54,2018-05-03 17:22:18,24.571s,PASSED
,,,,,,
Test Cases/wifi control/Record,Chrome 65.0.3325.181,\u8BB0\u5F55\u6570,2018-05-03 17:21:54,2018-05-03 17:22:02,7.754s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-05-03 17:21:54,2018-05-03 17:22:00,5.782s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:00,2018-05-03 17:22:02,1.583s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:02,2018-05-03 17:22:02,0.164s,PASSED
,,,,,,
Test Cases/wifi control/region search,Chrome 65.0.3325.181,\u533A\u57DF\u641C\u7D22,2018-05-03 17:22:02,2018-05-03 17:22:09,7.604s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-05-03 17:22:02,2018-05-03 17:22:08,5.774s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:08,2018-05-03 17:22:09,1.302s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:09,2018-05-03 17:22:09,0.170s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:09,2018-05-03 17:22:09,0.074s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:09,2018-05-03 17:22:09,0.093s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:09,2018-05-03 17:22:09,0.067s,PASSED
,,,,,,
Test Cases/wifi control/wifi set,Chrome 65.0.3325.181,wifi\u63A7\u5236,2018-05-03 17:22:09,2018-05-03 17:22:18,8.179s,PASSED
callTestCase,Chrome 65.0.3325.181,,2018-05-03 17:22:10,2018-05-03 17:22:15,5.318s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:15,2018-05-03 17:22:16,1.494s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:16,2018-05-03 17:22:17,0.656s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:17,2018-05-03 17:22:17,0.066s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:17,2018-05-03 17:22:17,0.087s,PASSED
check,Chrome 65.0.3325.181,,2018-05-03 17:22:17,2018-05-03 17:22:17,0.103s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-03 17:22:17,2018-05-03 17:22:17,0.184s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-03 17:22:17,2018-05-03 17:22:18,0.112s,PASSED
click,Chrome 65.0.3325.181,,2018-05-03 17:22:18,2018-05-03 17:22:18,0.061s,PASSED
